Time,Published Application Name,Process Name,Version,Description,Machine Name
12/14/2017 10:57:58 AM,Unknown,iexplore.exe,11.0.9600.18817,Faulting application name: iexplore.exe; version: 11.0.9600.18817; time stamp: 0x59b1994e;Faulting module name: IEFRAME.dll; version: 11.0.9600.18838; time stamp: 0x59e1bc88;Exception code: 0xc0000005;Fault offset: 0x00000000002678af;Faulting process id: 0x28b0;Faulting application start time: 0x01d3750d66a60b8d;Faulting application path: C:\Program Files\Internet Explorer\iexplore.exe;Faulting module path: C:\windows\SYSTEM32\IEFRAME.dll;Report Id: b2c9a673-e100-11e7-8133-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
12/13/2017 1:41:52 PM,Unknown,acevents.exe,5.1.0.95,Faulting application name: acevents.exe; version: 5.1.0.95; time stamp: 0x5784fb36;Faulting module name: ac.scardmon.dll; version: 2.0.19.67; time stamp: 0x5784fffd;Exception code: 0xc0000005;Fault offset: 0x0000000000004c13;Faulting process id: 0x4464;Faulting application start time: 0x01d37446e7d569ee;Faulting application path: C:\Program Files\HID Global\ActivClient\acevents.exe;Faulting module path: C:\Program Files\HID Global\ActivClient\ac.scardmon.dll;Report Id: 6e359e99-e04e-11e7-8133-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
12/13/2017 9:00:58 AM,Unknown,rsession.exe,1.0.136.0,Faulting application name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Faulting module name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Exception code: 0xc0000005;Fault offset: 0x0000000000478fd6;Faulting process id: 0x2630;Faulting application start time: 0x01d37433d2413866;Faulting application path: D:\Program Files\RStudio\bin\x64\rsession.exe;Faulting module path: D:\Program Files\RStudio\bin\x64\rsession.exe;Report Id: 30518866-e027-11e7-812d-005056b95f40;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX08P
