Associated User,Machine Name,Delivery Group,Failure Time,Failure Type,Failure Reason
aking20,ADCF\FACAD3PDECX06P,UNIV_SAS,12/13/2017 6:18:47 AM,Client Connection Failures,Other
aperez,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 10:35:38 AM,Client Connection Failures,Connection Timeout
aperez,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 10:39:38 AM,Client Connection Failures,Connection Timeout
aperez,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 10:44:08 AM,Client Connection Failures,Connection Timeout
aperez,ADCF\FACAD3PDECX08P,SPSS,12/8/2017 10:48:11 AM,Client Connection Failures,Connection Timeout
aperez,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 10:48:11 AM,Client Connection Failures,Connection Timeout
aperez,ADCF\FACAD3PDECX07P,SAS,12/11/2017 11:14:49 AM,Client Connection Failures,Connection Timeout
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/14/2017 6:51:43 AM,Client Connection Failures,Other
criggs0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/11/2017 6:18:01 AM,Client Connection Failures,Other
cwelsh2,ADCF\FACAD3PDECX07P,SAS,12/13/2017 10:34:17 AM,Client Connection Failures,Other
estewart7,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 7:12:28 AM,Client Connection Failures,Other
hhein2,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 6:53:41 AM,Client Connection Failures,Connection Timeout
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 11:07:32 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 11:09:55 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 11:12:33 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 11:15:03 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 11:17:22 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 11:25:01 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,12/13/2017 7:14:22 AM,Client Connection Failures,Other
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/11/2017 3:12:33 PM,Client Connection Failures,Other
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/13/2017 8:44:37 AM,Client Connection Failures,Other
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/13/2017 8:54:45 AM,Client Connection Failures,Other
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/14/2017 8:48:57 AM,Client Connection Failures,Other
Jim.Lucius,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 8:01:35 AM,Client Connection Failures,Connection Timeout
Jim.Lucius,ADCF\FACAD3PDECX07P,SAS,12/8/2017 8:05:06 AM,Client Connection Failures,Connection Timeout
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/11/2017 6:01:04 AM,Client Connection Failures,Other
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/12/2017 6:51:14 AM,Client Connection Failures,Other
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/12/2017 7:41:28 AM,Client Connection Failures,Other
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/12/2017 7:44:48 AM,Client Connection Failures,Other
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/13/2017 10:35:40 AM,Client Connection Failures,Other
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/14/2017 4:55:38 AM,Client Connection Failures,Other
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/14/2017 7:39:46 AM,Client Connection Failures,Other
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/14/2017 9:43:26 AM,Client Connection Failures,Other
