Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 3:09:09 PM,12/11/2017 4:33:46 PM,1:24
lvie,ADCF\FACAD3PDECX05P,Analysts,12/13/2017 11:45:05 AM,12/13/2017 12:23:01 PM,0:37
cwelsh2,ADCF\FACAD3PDECX07P,SAS,12/13/2017 10:35:24 AM,12/13/2017 9:30:22 PM,10:54
estewart7,ADCF\FACAD3PDECX07P,SAS,12/11/2017 10:55:14 AM,12/11/2017 12:16:51 PM,1:21
supgde,ADCF\FACAD3PDECX08P,SPSS,12/12/2017 3:01:52 PM,12/12/2017 3:03:24 PM,0:1
ihwang2,ADCF\FACAD3PDECX06P,UNIV_SAS,12/12/2017 8:22:31 AM,12/12/2017 10:27:51 AM,2:5
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 12:13:32 PM,12/8/2017 1:47:44 PM,1:34
supgde,ADCF\FACAD3PDECX05P,Analysts,12/12/2017 3:01:06 PM,12/12/2017 3:02:52 PM,0:1
tho3,ADCF\FACAD3PDECX07P,SAS,12/12/2017 9:20:52 PM,12/13/2017 1:57:16 AM,4:36
alathrop0,ADCF\FACAD3PDECX08P,SPSS,12/7/2017 12:40:22 PM,12/7/2017 6:03:19 PM,5:22
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,12/11/2017 9:54:10 AM,12/11/2017 12:33:27 PM,2:39
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 5:16:06 PM,12/11/2017 10:57:47 PM,5:41
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 8:10:03 AM,12/7/2017 4:14:08 PM,8:4
kevin.mason,ADCF\FACAD3PDECX07P,SAS,12/8/2017 12:12:10 PM,12/8/2017 12:48:57 PM,0:36
alathrop0,ADCF\FACAD3PDECX08P,SPSS,12/8/2017 11:38:48 AM,12/8/2017 5:26:26 PM,5:47
hhein2,ADCF\FACAD3PDECX05P,Analysts,12/13/2017 8:11:35 AM,12/14/2017 4:14:54 AM,20:3
jcloutier0,ADCF\FACAD3PDECX05P,Analysts,12/11/2017 6:10:08 AM,12/11/2017 9:48:29 PM,15:38
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/13/2017 8:55:11 AM,12/13/2017 11:23:08 AM,2:27
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 7:36:49 AM,12/8/2017 2:57:41 PM,7:20
jwei22,ADCF\FACAD3PDECX07P,SAS,12/11/2017 11:16:44 AM,12/11/2017 3:52:44 PM,4:35
kliu3,ADCF\FACAD3PDECX08P,SPSS,12/8/2017 1:03:27 PM,12/8/2017 2:28:25 PM,1:24
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/13/2017 8:42:26 AM,12/13/2017 11:22:44 AM,2:40
criggs0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/11/2017 6:18:37 AM,12/12/2017 6:27:34 AM,24:8
aallen13,ADCF\FACAD3PDECX07P,SAS,12/8/2017 10:38:24 AM,12/8/2017 3:36:23 PM,4:57
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 8:49:15 AM,12/8/2017 5:27:04 PM,8:37
pwolf4,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 2:39:44 PM,12/8/2017 6:07:44 PM,3:28
aalbin0,ADCF\FACAD3PDECX08P,SPSS,12/13/2017 7:11:01 AM,12/13/2017 2:33:21 PM,7:22
aalbin0,ADCF\FACAD3PDECX08P,SPSS,12/8/2017 9:06:53 AM,12/8/2017 4:33:22 PM,7:26
wchiu0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/8/2017 12:49:55 PM,12/8/2017 1:16:18 PM,0:26
