Date,Load Evaluator Index,CPU Load,Memory Load,Session Count Load,Disk Load,Connected Users
12/1/2017 9:00:00 AM,1.38,0,0,1.37,0,22
12/1/2017 11:00:00 AM,1.49,0,0,1.43,0,24
12/1/2017 1:00:00 PM,1.69,0,0,1.68,0,22
12/1/2017 3:00:00 PM,1.36,0,0,1.34,0,17
12/1/2017 5:00:00 PM,0.65,0,0,0.65,0,8
12/1/2017 7:00:00 PM,0.25,0,0,0.25,0,3
12/1/2017 9:00:00 PM,0.23,0,0,0.23,0,2
12/1/2017 11:00:00 PM,0.08,0,0,0.08,0,1
12/2/2017 1:00:00 AM,0.08,0,0,0.08,0,1
12/2/2017 3:00:00 AM,0.08,0,0,0.08,0,1
12/2/2017 5:00:00 AM,0.08,0,0,0.08,0,1
12/2/2017 7:00:00 AM,0.08,0,0,0.08,0,1
12/2/2017 9:00:00 AM,0.12,0,0,0.11,0,2
12/2/2017 11:00:00 AM,0.16,0,0,0.16,0,2
12/2/2017 1:00:00 PM,0.17,0,0,0.16,0,4
12/2/2017 3:00:00 PM,0.32,0,0,0.32,0,4
12/2/2017 5:00:00 PM,0.16,0,0,0.16,0,2
12/2/2017 7:00:00 PM,0.08,0,0,0.08,0,1
12/2/2017 9:00:00 PM,0.08,0,0,0.08,0,1
12/2/2017 11:00:00 PM,0.08,0,0,0.08,0,1
12/3/2017 1:00:00 AM,0.08,0,0,0.08,0,1
12/3/2017 3:00:00 AM,0.08,0,0,0.08,0,1
12/3/2017 5:00:00 AM,0.08,0,0,0.08,0,1
12/3/2017 7:00:00 AM,0.08,0,0,0.08,0,1
12/3/2017 9:00:00 AM,0.08,0,0,0.08,0,1
12/3/2017 11:00:00 AM,0.13,0,0,0.12,0,3
12/3/2017 1:00:00 PM,0.17,0,0,0.17,0,4
12/3/2017 3:00:00 PM,0.24,0,0,0.24,0,3
12/3/2017 5:00:00 PM,0.1,0,0,0.1,0,2
12/3/2017 7:00:00 PM,0.13,0,0,0.13,0,1
12/3/2017 9:00:00 PM,0.08,0,0,0.08,0,2
12/3/2017 11:00:00 PM,0.16,0,0,0.16,0,3
12/4/2017 1:00:00 AM,0.24,0,0,0.24,0,3
12/4/2017 3:00:00 AM,0.24,0,0,0.24,0,6
12/4/2017 5:00:00 AM,0.4,0,0,0.4,0,15
12/4/2017 7:00:00 AM,1.08,0,0,1.08,0,23
12/4/2017 9:00:00 AM,1.93,0,0,1.91,0,30
12/4/2017 11:00:00 AM,2.22,0,0,2.21,0,28
12/4/2017 1:00:00 PM,1.9,0,0,1.89,0,25
12/4/2017 3:00:00 PM,1.72,0,0,1.71,0,22
12/4/2017 5:00:00 PM,0.63,0,0,0.63,0,10
12/4/2017 7:00:00 PM,0.35,0,0,0.35,0,5
12/4/2017 9:00:00 PM,0.32,0,0,0.32,0,5
12/4/2017 11:00:00 PM,0.32,0,0,0.32,0,4
12/5/2017 1:00:00 AM,0.23,0,0,0.23,0,3
12/5/2017 3:00:00 AM,0.18,0,0,0.18,0,3
12/5/2017 5:00:00 AM,0.25,0,0,0.25,0,7
12/5/2017 7:00:00 AM,0.98,0,0,0.96,0,14
12/5/2017 9:00:00 AM,1.54,0,0,1.52,0,22
12/5/2017 11:00:00 AM,2.19,0,0,2.18,0,25
12/5/2017 1:00:00 PM,2.32,0,0,2.32,0,28
12/5/2017 3:00:00 PM,1.67,0,0,1.67,0,20
12/5/2017 5:00:00 PM,0.63,0,0,0.63,0,8
12/5/2017 7:00:00 PM,0.4,0,0,0.4,0,7
12/5/2017 9:00:00 PM,0.4,0,0,0.4,0,5
12/5/2017 11:00:00 PM,0.32,0,0,0.32,0,4
12/6/2017 1:00:00 AM,0.32,0,0,0.32,0,4
12/6/2017 3:00:00 AM,0.28,0,0,0.28,0,5
12/6/2017 5:00:00 AM,0.26,0,0,0.26,0,8
12/6/2017 7:00:00 AM,0.66,0,0,0.65,0,14
12/6/2017 9:00:00 AM,1.54,0,0,1.53,0,22
12/6/2017 11:00:00 AM,1.93,0,0,1.92,0,25
12/6/2017 1:00:00 PM,1.92,0,0,1.89,0,25
12/6/2017 3:00:00 PM,1.74,0,0,1.74,0,20
12/6/2017 5:00:00 PM,0.76,0,0,0.76,0,11
12/6/2017 7:00:00 PM,0.61,0,0,0.61,0,9
12/6/2017 9:00:00 PM,0.48,0,0,0.48,0,6
12/6/2017 11:00:00 PM,0.48,0,0,0.48,0,6
12/7/2017 1:00:00 AM,0.4,0,0,0.4,0,5
12/7/2017 3:00:00 AM,0.4,0,0,0.4,0,7
12/7/2017 5:00:00 AM,0.53,0,0,0.53,0,8
12/7/2017 7:00:00 AM,0.78,0,0,0.74,0,15
12/7/2017 9:00:00 AM,1.45,0,0,1.42,0,19
12/7/2017 11:00:00 AM,1.62,0,0,1.61,0,20
12/7/2017 1:00:00 PM,1.62,0,0,1.62,0,20
12/7/2017 3:00:00 PM,1.29,0,0,1.29,0,16
12/7/2017 5:00:00 PM,0.52,0,0,0.52,0,7
12/7/2017 7:00:00 PM,0.4,0,0,0.4,0,5
12/7/2017 9:00:00 PM,0.32,0,0,0.32,0,4
12/7/2017 11:00:00 PM,0.26,0,0,0.26,0,4
12/8/2017 1:00:00 AM,0.16,0,0,0.16,0,2
12/8/2017 3:00:00 AM,0.16,0,0,0.16,0,4
12/8/2017 5:00:00 AM,0.39,0,0,0.39,0,8
12/8/2017 7:00:00 AM,0.69,0,0,0.65,0,14
