Associated User,Machine Name,Delivery Group,Failure Time,Failure Type,Failure Reason
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/4/2017 4:18:34 AM,Client Connection Failures,Connection Timeout
kmartin22,ADCF\FACAD3PDECX05P,Analysts,12/4/2017 4:19:05 AM,Client Connection Failures,Connection Timeout
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/4/2017 4:27:05 AM,Client Connection Failures,Connection Timeout
kmartin22,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 7:02:25 AM,Client Connection Failures,Other
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,12/4/2017 12:05:02 AM,Client Connection Failures,Other
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,12/4/2017 12:19:03 AM,Client Connection Failures,Other
kroenfeldt0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 2:45:14 PM,Client Connection Failures,Connection Timeout
ksullivan7,ADCF\FACAD3PDECX08P,SPSS,12/1/2017 9:55:40 AM,Client Connection Failures,Other
kszeto0,ADCF\FACAD3PDECX08P,SPSS,12/1/2017 9:13:47 AM,Client Connection Failures,Connection Timeout
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 8:54:14 AM,Client Connection Failures,Other
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 1:23:46 PM,Client Connection Failures,Connection Timeout
mgray16,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 4:26:32 PM,Client Connection Failures,Other
mgray16,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 4:42:34 PM,Client Connection Failures,Other
myi12,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 9:33:10 AM,Client Connection Failures,Other
pwolf4,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 8:49:44 AM,Client Connection Failures,Other
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/1/2017 1:07:22 PM,Client Connection Failures,Other
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/4/2017 10:45:01 AM,Client Connection Failures,Other
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 8:45:14 AM,Client Connection Failures,Other
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 2:26:57 PM,Client Connection Failures,Other
rramachandran0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 8:28:22 AM,Client Connection Failures,Other
sbuttrey,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 11:30:08 AM,Client Connection Failures,Connection Timeout
sbuttrey,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 11:35:38 AM,Client Connection Failures,Connection Timeout
shawkins,ADCF\FACAD3PDECX08P,SPSS,12/1/2017 3:28:33 PM,Client Connection Failures,Other
ssablan0,ADCF\FACAD3PDECX05P,Analysts,12/4/2017 9:05:03 AM,Client Connection Failures,Connection Timeout
ssablan0,ADCF\FACAD3PDECX05P,Analysts,12/4/2017 1:46:00 PM,Client Connection Failures,Connection Timeout
ssablan0,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 9:55:31 AM,Client Connection Failures,Connection Timeout
tho3,ADCF\FACAD3PDECX07P,SAS,12/3/2017 2:21:11 PM,Client Connection Failures,Connection Timeout
yshen,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 10:12:55 AM,Client Connection Failures,Other
