Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
DDelGrande,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 7:16:11 AM,12/7/2017 7:18:18 AM,0:2
jtolins0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 10:59:48 AM,12/7/2017 11:53:44 AM,0:53
dpercich0,ADCF\FACAD3PDECX07P,SAS,12/7/2017 4:54:45 AM,12/7/2017 5:43:14 AM,0:48
aanglemyer0,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 2:28:45 PM,12/5/2017 3:59:42 PM,1:30
jmurguia1,ADCF\FACAD3PDECX05P,Analysts,12/1/2017 12:05:54 PM,12/1/2017 12:24:51 PM,0:18
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,12/4/2017 9:47:23 AM,12/4/2017 1:11:06 PM,3:23
jkegel0,ADCF\FACAD3PDECX08P,SPSS,12/8/2017 5:12:04 AM,Running,4:29
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/4/2017 8:50:19 AM,12/4/2017 6:00:07 PM,9:9
mbacolod0,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 1:57:02 PM,12/6/2017 2:17:29 PM,0:20
shawkins,ADCF\FACAD3PDECX08P,SPSS,12/1/2017 11:49:07 AM,12/1/2017 1:30:55 PM,1:41
aking20,ADCF\FACAD3PDECX06P,UNIV_SAS,12/4/2017 12:37:04 PM,12/4/2017 12:45:31 PM,0:8
myi12,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 8:57:54 AM,Running,0:43
michael.j.ready4.ctr,ADCF\FACAD3PDECX09P,SAS RFL,12/5/2017 11:14:50 AM,12/5/2017 2:14:59 PM,3:0
shawkins,ADCF\FACAD3PDECX08P,SPSS,12/1/2017 3:30:11 PM,12/1/2017 6:55:25 PM,3:25
mbacolod0,ADCF\FACAD3PDECX05P,Analysts,12/4/2017 10:19:00 AM,12/4/2017 11:51:32 AM,1:32
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/1/2017 11:36:08 AM,12/1/2017 3:09:26 PM,3:33
mbacolod0,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 10:22:00 AM,12/5/2017 2:05:35 PM,3:43
jfarag2,ADCF\FACAD3PDECX07P,SAS,12/4/2017 6:32:37 AM,12/5/2017 6:27:02 AM,23:54
jtolins0,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 11:02:52 AM,12/5/2017 1:55:32 PM,2:52
estewart7,ADCF\FACAD3PDECX07P,SAS,12/7/2017 7:10:02 AM,12/7/2017 3:59:04 PM,8:49
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 6:59:35 AM,12/5/2017 2:57:25 PM,7:57
sschwab2,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 4:50:49 AM,Running,4:51
aking20,ADCF\FACAD3PDECX06P,UNIV_SAS,12/6/2017 8:13:03 AM,12/6/2017 4:11:51 PM,7:58
jbergevin,ADCF\FACAD3PDECX08P,SPSS,12/1/2017 1:48:34 PM,12/1/2017 1:54:49 PM,0:6
cwelsh2,ADCF\FACAD3PDECX07P,SAS,12/7/2017 7:42:09 AM,12/8/2017 9:37:13 AM,25:55
cwelsh2,ADCF\FACAD3PDECX07P,SAS,12/5/2017 8:26:28 AM,12/6/2017 5:36:17 AM,21:9
kroenfeldt0,ADCF\FACAD3PDECX07P,SAS,12/4/2017 9:12:20 AM,12/4/2017 10:20:11 AM,1:7
kmartin22,ADCF\FACAD3PDECX05P,Analysts,12/5/2017 7:02:55 AM,12/5/2017 2:06:00 PM,7:3
mlindberg0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/4/2017 9:22:28 AM,12/4/2017 10:27:46 AM,1:5
mbacolod0,ADCF\FACAD3PDECX05P,Analysts,12/1/2017 10:33:51 AM,12/1/2017 11:12:29 AM,0:38
mpetukhova0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/5/2017 10:59:37 AM,12/5/2017 1:03:18 PM,2:3
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/8/2017 5:09:14 AM,12/8/2017 7:57:42 AM,2:48
dbartolanzo0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/4/2017 1:01:18 PM,12/4/2017 3:11:14 PM,2:9
jfisher11,ADCF\FACAD3PDECX08P,SPSS,12/7/2017 8:04:45 AM,12/7/2017 4:13:49 PM,8:9
jfisher11,ADCF\FACAD3PDECX05P,Analysts,12/8/2017 8:00:19 AM,Running,1:41
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/1/2017 1:23:25 PM,12/1/2017 3:49:44 PM,2:26
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/4/2017 10:21:12 AM,12/4/2017 1:29:06 PM,3:7
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 8:08:38 AM,12/7/2017 3:05:55 PM,6:57
cstanek2,ADCF\FACAD3PDECX07P,SAS,12/5/2017 10:55:56 AM,12/5/2017 4:59:43 PM,6:3
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/6/2017 7:48:01 AM,12/6/2017 4:11:53 PM,8:23
estewart7,ADCF\FACAD3PDECX07P,SAS,12/5/2017 7:04:44 AM,12/5/2017 4:34:50 PM,9:30
zpeters2,ADCF\FACAD3PDECX07P,SAS,12/1/2017 7:52:49 AM,12/1/2017 10:54:56 AM,3:2
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/1/2017 12:44:38 PM,12/1/2017 12:45:43 PM,0:1
acondon2,ADCF\FACAD3PDECX05P,Analysts,12/7/2017 7:58:15 AM,12/7/2017 4:50:24 PM,8:52
kliu3,ADCF\FACAD3PDECX08P,SPSS,12/6/2017 11:09:17 AM,12/7/2017 12:11:52 AM,13:2
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 10:03:49 AM,12/6/2017 7:18:38 PM,9:14
zpeters2,ADCF\FACAD3PDECX07P,SAS,12/4/2017 4:33:02 AM,12/4/2017 7:57:42 AM,3:24
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 6:31:48 AM,12/6/2017 3:43:03 PM,9:11
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,12/1/2017 10:59:44 AM,12/1/2017 11:40:04 AM,0:40
mbacolod0,ADCF\FACAD3PDECX05P,Analysts,12/2/2017 2:43:18 PM,12/2/2017 4:47:16 PM,2:3
jmurguia1,ADCF\FACAD3PDECX05P,Analysts,12/1/2017 3:59:09 PM,12/1/2017 4:14:42 PM,0:15
aalbin0,ADCF\FACAD3PDECX08P,SPSS,12/5/2017 9:55:20 AM,12/5/2017 4:35:56 PM,6:40
jfisher11,ADCF\FACAD3PDECX07P,SAS,12/8/2017 7:58:27 AM,Running,1:43
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,12/7/2017 11:02:51 AM,12/7/2017 12:50:17 PM,1:47
mseibert0,ADCF\FACAD3PDECX05P,Analysts,12/4/2017 8:04:31 AM,12/4/2017 3:43:43 PM,7:39
jwei22,ADCF\FACAD3PDECX07P,SAS,12/5/2017 7:41:33 AM,12/5/2017 10:02:43 AM,2:21
khawley2,ADCF\FACAD3PDECX07P,SAS,12/1/2017 12:55:28 PM,12/1/2017 2:17:10 PM,1:21
jwei22,ADCF\FACAD3PDECX05P,Analysts,12/1/2017 5:59:08 AM,12/1/2017 9:11:27 AM,3:12
pwolf4,ADCF\FACAD3PDECX05P,Analysts,12/6/2017 8:53:03 AM,12/7/2017 12:21:22 PM,27:28
dbartolanzo0,ADCF\FACAD3PDECX06P,UNIV_SAS,12/7/2017 1:28:12 PM,12/7/2017 2:36:42 PM,1:8
sschwab2,ADCF\FACAD3PDECX05P,Analysts,11/30/2017 5:37:25 PM,12/4/2017 3:15:26 PM,93:38
rramachandran0,ADCF\FACAD3PDECX07P,SAS,12/5/2017 9:47:08 AM,12/6/2017 4:00:31 AM,18:13
