Date,Load Evaluator Index,CPU Load,Memory Load,Session Count Load,Disk Load,Connected Users
12/28/2017 1:00:00 PM,0.85,0,0,0.85,0,12
12/28/2017 3:00:00 PM,0.4,0,0,0.4,0,6
12/28/2017 5:00:00 PM,0.16,0,0,0.16,0,2
12/28/2017 7:00:00 PM,0.16,0,0,0.16,0,2
12/28/2017 9:00:00 PM,0.16,0,0,0.16,0,2
12/28/2017 11:00:00 PM,0.16,0,0,0.16,0,2
12/29/2017 1:00:00 AM,0.08,0,0,0.08,0,1
12/29/2017 3:00:00 AM,0.08,0,0,0.08,0,1
12/29/2017 5:00:00 AM,0.13,0,0,0.13,0,5
12/29/2017 7:00:00 AM,0.57,0,0,0.55,0,8
12/29/2017 9:00:00 AM,0.61,0,0,0.6,0,11
12/29/2017 11:00:00 AM,0.52,0,0,0.52,0,8
12/29/2017 1:00:00 PM,0.4,0,0,0.4,0,5
12/29/2017 3:00:00 PM,0.24,0,0,0.24,0,4
12/29/2017 5:00:00 PM,0.14,0,0,0.14,0,2
12/29/2017 7:00:00 PM,0.08,0,0,0.08,0,1
12/29/2017 9:00:00 PM,0.08,0,0,0.08,0,1
12/29/2017 11:00:00 PM,0.08,0,0,0.08,0,1
12/30/2017 1:00:00 AM,0.08,0,0,0.08,0,1
12/30/2017 3:00:00 AM,0.08,0,0,0.08,0,1
12/30/2017 5:00:00 AM,0.04,0,0,0.04,0,3
12/30/2017 7:00:00 AM,0.14,0,0,0.14,0,3
12/30/2017 9:00:00 AM,0.08,0,0,0.08,0,1
12/30/2017 11:00:00 AM,0.08,0,0,0.08,0,1
12/30/2017 1:00:00 PM,0.08,0,0,0.08,0,1
12/30/2017 3:00:00 PM,0.05,0,0,0.05,0,1
12/30/2017 5:00:00 PM,0,0,0,0,0,0
12/30/2017 7:00:00 PM,0,0,0,0,0,0
12/30/2017 9:00:00 PM,0,0,0,0,0,0
12/30/2017 11:00:00 PM,0,0,0,0,0,0
12/31/2017 1:00:00 AM,0,0,0,0,0,0
12/31/2017 3:00:00 AM,0,0,0,0,0,0
12/31/2017 5:00:00 AM,0,0,0,0,0,0
12/31/2017 7:00:00 AM,0,0,0,0,0,0
12/31/2017 9:00:00 AM,0,0,0,0,0,1
12/31/2017 11:00:00 AM,0.08,0,0,0.07,0,1
12/31/2017 1:00:00 PM,0.08,0,0,0.08,0,1
12/31/2017 3:00:00 PM,0,0,0,0,0,1
12/31/2017 5:00:00 PM,0,0,0,0,0,0
12/31/2017 7:00:00 PM,0,0,0,0,0,0
12/31/2017 9:00:00 PM,0,0,0,0,0,0
12/31/2017 11:00:00 PM,0,0,0,0,0,0
1/1/2018 1:00:00 AM,0,0,0,0,0,0
1/1/2018 3:00:00 AM,0,0,0,0,0,0
1/1/2018 5:00:00 AM,0,0,0,0,0,0
1/1/2018 7:00:00 AM,0.03,0,0,0.02,0,2
1/1/2018 9:00:00 AM,0.16,0,0,0.16,0,3
1/1/2018 11:00:00 AM,0.19,0,0,0.19,0,3
1/1/2018 1:00:00 PM,0.08,0,0,0.08,0,1
1/1/2018 3:00:00 PM,0,0,0,0,0,0
1/1/2018 5:00:00 PM,0,0,0,0,0,0
1/1/2018 7:00:00 PM,0,0,0,0,0,0
1/1/2018 9:00:00 PM,0,0,0,0,0,0
1/1/2018 11:00:00 PM,0,0,0,0,0,1
1/2/2018 1:00:00 AM,0,0,0,0,0,0
1/2/2018 3:00:00 AM,0,0,0,0,0,1
1/2/2018 5:00:00 AM,0.08,0,0,0.08,0,4
1/2/2018 7:00:00 AM,0.6,0,0,0.57,0,13
1/2/2018 9:00:00 AM,1.6,0,0,1.58,0,21
1/2/2018 11:00:00 AM,1.71,0,0,1.7,0,22
1/2/2018 1:00:00 PM,1.71,0,0,1.71,0,21
1/2/2018 3:00:00 PM,1.44,0,0,1.43,0,19
1/2/2018 5:00:00 PM,0.71,0,0,0.7,0,10
1/2/2018 7:00:00 PM,0.4,0,0,0.4,0,5
1/2/2018 9:00:00 PM,0.32,0,0,0.32,0,4
1/2/2018 11:00:00 PM,0.32,0,0,0.32,0,4
1/3/2018 1:00:00 AM,0.25,0,0,0.25,0,4
1/3/2018 3:00:00 AM,0.24,0,0,0.24,0,4
1/3/2018 5:00:00 AM,0.33,0,0,0.33,0,8
1/3/2018 7:00:00 AM,0.68,0,0,0.67,0,14
1/3/2018 9:00:00 AM,1.29,0,0,1.27,0,23
1/3/2018 11:00:00 AM,1.76,0,0,1.76,0,24
1/3/2018 1:00:00 PM,1.68,0,0,1.68,0,22
1/3/2018 3:00:00 PM,1.25,0,0,1.23,0,20
1/3/2018 5:00:00 PM,0.92,0,0,0.92,0,13
1/3/2018 7:00:00 PM,0.47,0,0,0.47,0,5
1/3/2018 9:00:00 PM,0.15,0,0,0.15,0,2
1/3/2018 11:00:00 PM,0.16,0,0,0.16,0,2
1/4/2018 1:00:00 AM,0.16,0,0,0.16,0,2
1/4/2018 3:00:00 AM,0.18,0,0,0.18,0,5
1/4/2018 5:00:00 AM,0.32,0,0,0.32,0,8
1/4/2018 7:00:00 AM,0.78,0,0,0.76,0,16
1/4/2018 9:00:00 AM,2.09,0,0,2.04,0,26
1/4/2018 11:00:00 AM,1.8,0,0,1.8,0,24
