Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
Gregory.Erickson.ctr,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 9:33:23 AM,1/4/2018 10:10:35 AM,0:37
supahm,ADCF\FACAD3PDECX07P,SAS,1/1/2018 11:33:20 PM,1/1/2018 11:35:10 PM,0:1
jmurguia1,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 12:52:25 PM,Running,0:11
tho3,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 10:02:43 AM,1/3/2018 10:15:39 AM,0:12
kmartin22,ADCF\FACAD3PDECX07P,SAS,1/4/2018 7:31:44 AM,Running,5:32
paliaga0,ADCF\FACAD3PDECX06P,UNIV_SAS,1/4/2018 4:54:50 AM,1/4/2018 5:00:20 AM,0:5
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,12/28/2017 7:16:41 AM,12/28/2017 2:26:40 PM,7:9
rmomberger0,ADCF\FACAD3PDECX07P,SAS,1/3/2018 7:57:42 AM,1/3/2018 11:28:43 AM,3:31
fhuante2,ADCF\FACAD3PDECX07P,SAS,12/29/2017 9:56:39 AM,12/29/2017 11:01:43 AM,1:5
jfisher11,ADCF\FACAD3PDECX07P,SAS,1/2/2018 7:51:44 AM,1/2/2018 11:41:24 AM,3:49
aalbin0,ADCF\FACAD3PDECX08P,SPSS,1/3/2018 10:04:50 AM,1/3/2018 6:10:29 PM,8:5
esolarz2,ADCF\FACAD3PDECX05P,Analysts,12/30/2017 6:59:46 AM,12/30/2017 8:44:23 AM,1:44
khawley2,ADCF\FACAD3PDECX08P,SPSS,12/28/2017 2:21:09 PM,12/28/2017 2:52:00 PM,0:30
esolarz2,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 4:57:13 PM,1/3/2018 6:46:10 PM,1:48
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,1/3/2018 8:56:58 AM,1/3/2018 3:17:02 PM,6:20
aallen13,ADCF\FACAD3PDECX07P,SAS,1/3/2018 9:43:12 AM,1/3/2018 3:37:35 PM,5:54
abhasker2,ADCF\FACAD3PDECX07P,SAS,12/28/2017 11:41:25 AM,12/29/2017 4:15:07 PM,28:33
khawley2,ADCF\FACAD3PDECX08P,SPSS,1/3/2018 3:07:14 PM,1/3/2018 3:08:51 PM,0:1
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,1/4/2018 6:10:17 AM,1/4/2018 7:32:21 AM,1:22
atrexler0,ADCF\FACAD3PDECX07P,SAS,1/4/2018 4:43:07 AM,Running,8:21
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,1/3/2018 5:49:10 AM,1/3/2018 12:30:51 PM,6:41
cwelsh2,ADCF\FACAD3PDECX07P,SAS,1/4/2018 8:43:43 AM,Running,4:20
jwei22,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 7:12:14 AM,1/2/2018 11:33:02 AM,4:20
Gregory.Erickson.ctr,ADCF\FACAD3PDECX06P,UNIV_SAS,12/29/2017 9:19:21 AM,12/29/2017 9:21:57 AM,0:2
mlindberg0,ADCF\FACAD3PDECX06P,UNIV_SAS,1/2/2018 11:06:37 AM,1/2/2018 11:24:04 AM,0:17
aalbin0,ADCF\FACAD3PDECX08P,SPSS,1/2/2018 9:07:07 AM,1/2/2018 4:29:58 PM,7:22
kmartin22,ADCF\FACAD3PDECX07P,SAS,1/3/2018 9:39:29 AM,1/3/2018 1:55:30 PM,4:16
aalbin0,ADCF\FACAD3PDECX08P,SPSS,1/4/2018 9:22:10 AM,Running,3:42
khawley2,ADCF\FACAD3PDECX08P,SPSS,12/31/2017 10:59:52 AM,12/31/2017 3:00:35 PM,4:0
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 10:27:35 AM,1/3/2018 6:48:51 PM,8:21
abhasker2,ADCF\FACAD3PDECX07P,SAS,1/4/2018 8:38:45 AM,Running,4:25
jkegel0,ADCF\FACAD3PDECX08P,SPSS,1/2/2018 6:47:29 AM,1/3/2018 1:47:17 PM,30:59
fhuante2,ADCF\FACAD3PDECX08P,SPSS,1/2/2018 3:18:31 PM,1/2/2018 4:22:36 PM,1:4
mseibert0,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 2:16:06 PM,1/3/2018 2:18:42 PM,0:2
fhuante2,ADCF\FACAD3PDECX07P,SAS,1/2/2018 8:24:21 AM,1/2/2018 9:29:30 AM,1:5
Gregory.Erickson.ctr,ADCF\FACAD3PDECX06P,UNIV_SAS,1/4/2018 9:32:20 AM,1/4/2018 10:09:08 AM,0:36
kszeto0,ADCF\FACAD3PDECX05P,Analysts,12/28/2017 10:26:30 AM,12/28/2017 4:03:06 PM,5:36
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 9:12:56 AM,1/4/2018 11:00:51 AM,1:47
tho3,ADCF\FACAD3PDECX07P,SAS,1/2/2018 5:34:10 PM,1/2/2018 8:14:14 PM,2:40
mlessman0,ADCF\FACAD3PDECX05P,Analysts,12/29/2017 10:44:12 AM,12/29/2017 11:28:27 AM,0:44
jkazman,ADCF\FACAD3PDECX08P,SPSS,1/3/2018 8:33:05 AM,1/3/2018 10:09:00 AM,1:35
shawkins,ADCF\FACAD3PDECX08P,SPSS,12/28/2017 11:51:09 AM,12/28/2017 1:36:14 PM,1:45
jfisher11,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 7:52:04 AM,1/2/2018 11:41:39 AM,3:49
esolarz2,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 8:04:39 AM,1/4/2018 9:25:41 AM,1:21
mlessman0,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 8:01:16 AM,Running,5:3
Gregory.Erickson.ctr,ADCF\FACAD3PDECX08P,SPSS,1/4/2018 9:35:45 AM,1/4/2018 10:12:52 AM,0:37
asmith96,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 3:31:47 PM,1/3/2018 4:41:11 PM,1:9
acondon2,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 9:44:37 AM,1/3/2018 3:51:08 PM,6:6
alathrop0,ADCF\FACAD3PDECX08P,SPSS,1/4/2018 10:47:55 AM,Running,2:16
esolarz2,ADCF\FACAD3PDECX05P,Analysts,12/29/2017 6:52:21 AM,12/29/2017 8:27:34 AM,1:35
pwolf4,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 10:08:09 AM,1/4/2018 12:14:41 PM,50:6
larmey,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 12:06:31 PM,1/3/2018 1:19:29 PM,1:12
fhuante2,ADCF\FACAD3PDECX08P,SPSS,12/28/2017 12:43:44 PM,12/28/2017 2:03:32 PM,1:19
jcloutier0,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 10:49:02 AM,1/3/2018 6:12:06 PM,7:23
fhuante2,ADCF\FACAD3PDECX07P,SAS,1/2/2018 12:37:30 PM,1/2/2018 2:39:17 PM,2:1
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 5:26:49 PM,1/3/2018 1:11:20 AM,7:44
cwelsh2,ADCF\FACAD3PDECX07P,SAS,1/2/2018 9:11:41 AM,1/4/2018 8:23:44 AM,47:12
atrexler0,ADCF\FACAD3PDECX07P,SAS,1/2/2018 10:18:55 AM,1/2/2018 2:58:29 PM,4:39
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,12/28/2017 10:14:06 AM,12/29/2017 12:56:09 AM,14:42
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 9:01:04 AM,Running,4:3
estewart7,ADCF\FACAD3PDECX07P,SAS,1/3/2018 9:44:00 AM,1/3/2018 3:57:52 PM,6:13
fhuante2,ADCF\FACAD3PDECX08P,SPSS,1/4/2018 9:32:55 AM,1/4/2018 10:41:29 AM,1:8
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,12/29/2017 7:30:57 AM,12/29/2017 9:08:35 AM,1:37
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,1/3/2018 6:09:05 AM,1/3/2018 5:01:53 PM,10:52
lstewart10,ADCF\FACAD3PDECX07P,SAS,12/28/2017 11:54:55 AM,12/28/2017 3:04:59 PM,3:10
sschwab2,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 6:45:13 AM,1/2/2018 10:41:33 AM,3:56
abhasker2,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 7:56:35 AM,1/2/2018 9:58:31 AM,2:1
abhasker2,ADCF\FACAD3PDECX07P,SAS,1/2/2018 7:43:38 AM,1/2/2018 4:00:19 PM,8:16
sschwab2,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 6:51:50 AM,Running,6:12
estewart7,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 8:14:22 AM,1/2/2018 5:48:44 PM,9:34
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/29/2017 6:00:56 AM,12/29/2017 10:16:40 AM,4:15
jwei22,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 6:49:01 AM,Running,6:15
kszeto0,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 1:59:34 PM,1/2/2018 5:21:59 PM,3:22
estewart7,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 7:06:21 AM,Running,5:57
tmiller34,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 4:27:01 AM,1/2/2018 3:55:50 PM,11:28
kmartin22,ADCF\FACAD3PDECX07P,SAS,1/2/2018 6:19:35 AM,1/2/2018 3:33:48 PM,9:14
jfisher11,ADCF\FACAD3PDECX08P,SPSS,1/4/2018 8:15:43 AM,Running,4:48
kszeto0,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 10:27:51 AM,1/2/2018 1:31:29 PM,3:3
aperez,ADCF\FACAD3PDECX08P,SPSS,1/2/2018 1:44:06 PM,1/2/2018 4:22:03 PM,2:37
estewart7,ADCF\FACAD3PDECX07P,SAS,1/2/2018 8:13:47 AM,1/2/2018 5:48:36 PM,9:34
aallen13,ADCF\FACAD3PDECX07P,SAS,1/2/2018 10:47:39 AM,1/2/2018 3:46:00 PM,4:58
jwei22,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 11:35:42 AM,1/2/2018 6:59:00 PM,7:23
jfisher11,ADCF\FACAD3PDECX08P,SPSS,1/3/2018 8:00:30 AM,1/3/2018 7:57:58 PM,11:57
khawley2,ADCF\FACAD3PDECX08P,SPSS,12/30/2017 8:46:47 AM,12/30/2017 3:42:10 PM,6:55
myi12,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 8:18:01 AM,1/2/2018 5:37:48 PM,9:19
Gregory.Erickson.ctr,ADCF\FACAD3PDECX09P,SAS RFL,1/4/2018 9:36:44 AM,1/4/2018 10:13:04 AM,0:36
Gregory.Erickson.ctr,ADCF\FACAD3PDECX09P,SAS RFL,12/29/2017 9:14:52 AM,12/29/2017 9:21:44 AM,0:6
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 8:27:57 AM,1/2/2018 4:40:01 PM,8:12
Gregory.Erickson.ctr,ADCF\FACAD3PDECX08P,SPSS,12/29/2017 9:17:03 AM,12/29/2017 9:22:07 AM,0:5
mseibert0,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 10:02:40 AM,1/3/2018 12:19:53 PM,2:17
esolarz2,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 9:40:09 AM,1/2/2018 10:48:10 AM,1:8
myi12,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 8:00:56 AM,Running,5:3
jfisher11,ADCF\FACAD3PDECX08P,SPSS,1/2/2018 3:42:58 PM,1/2/2018 4:54:35 PM,1:11
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,1/4/2018 8:22:21 AM,1/4/2018 11:06:19 AM,2:43
fhuante2,ADCF\FACAD3PDECX08P,SPSS,1/2/2018 12:35:50 PM,1/2/2018 1:37:55 PM,1:2
jcloutier0,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 11:06:36 AM,Running,1:57
tmiller34,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 3:47:42 AM,1/4/2018 11:01:44 AM,7:14
sschwab2,ADCF\FACAD3PDECX05P,Analysts,1/1/2018 7:41:40 AM,1/1/2018 2:34:27 PM,6:52
tho3,ADCF\FACAD3PDECX07P,SAS,1/3/2018 10:13:39 AM,1/3/2018 12:26:47 PM,2:13
