Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
myi12,ADCF\FACAD3PDECX05P,Analysts,12/29/2017 9:23:15 AM,12/29/2017 2:56:00 PM,5:32
tho3,ADCF\FACAD3PDECX07P,SAS,1/4/2018 9:14:20 AM,1/4/2018 9:31:56 AM,0:17
khawley2,ADCF\FACAD3PDECX08P,SPSS,12/30/2017 8:44:41 AM,12/30/2017 8:46:11 AM,0:1
acondon2,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 9:37:35 AM,1/2/2018 2:13:06 PM,4:35
jfisher11,ADCF\FACAD3PDECX07P,SAS,1/4/2018 8:15:59 AM,Running,4:48
tmiller34,ADCF\FACAD3PDECX05P,Analysts,12/29/2017 5:21:39 AM,12/29/2017 4:21:59 PM,11:0
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,1/3/2018 6:17:24 PM,1/3/2018 8:11:23 PM,1:53
mseibert0,ADCF\FACAD3PDECX05P,Analysts,1/2/2018 11:54:16 AM,1/2/2018 3:29:35 PM,3:35
Gregory.Erickson.ctr,ADCF\FACAD3PDECX07P,SAS,1/4/2018 9:34:25 AM,1/4/2018 10:10:40 AM,0:36
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/28/2017 10:02:39 AM,12/28/2017 4:48:36 PM,6:45
jfisher11,ADCF\FACAD3PDECX07P,SAS,1/2/2018 3:45:14 PM,1/2/2018 4:54:14 PM,1:8
myi12,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 5:12:47 PM,1/3/2018 6:44:04 PM,1:31
jbergevin,ADCF\FACAD3PDECX08P,SPSS,12/28/2017 12:07:16 PM,12/28/2017 2:40:32 PM,2:33
myi12,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 8:22:59 AM,1/3/2018 4:14:46 PM,7:51
atrexler0,ADCF\FACAD3PDECX07P,SAS,1/3/2018 6:11:43 AM,1/3/2018 3:00:35 PM,8:48
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 9:38:30 AM,1/3/2018 5:45:14 PM,8:6
tmiller34,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 6:06:46 AM,1/3/2018 1:56:07 PM,7:49
atrexler0,ADCF\FACAD3PDECX07P,SAS,12/28/2017 11:14:16 AM,12/28/2017 2:54:13 PM,3:39
alathrop0,ADCF\FACAD3PDECX08P,SPSS,1/3/2018 3:49:16 PM,1/3/2018 8:44:07 PM,4:54
myi12,ADCF\FACAD3PDECX05P,Analysts,12/28/2017 12:47:27 PM,12/28/2017 4:46:54 PM,3:59
criggs0,ADCF\FACAD3PDECX06P,UNIV_SAS,1/4/2018 9:17:49 AM,Running,3:46
sschwab2,ADCF\FACAD3PDECX05P,Analysts,12/29/2017 7:11:57 AM,12/30/2017 5:27:01 AM,22:15
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,12/29/2017 6:26:50 AM,12/29/2017 12:07:48 PM,5:40
tmiller34,ADCF\FACAD3PDECX05P,Analysts,1/1/2018 8:43:16 AM,1/1/2018 11:25:34 AM,2:42
jbergevin,ADCF\FACAD3PDECX08P,SPSS,12/29/2017 3:59:44 PM,12/29/2017 5:51:06 PM,1:51
jcloutier0,ADCF\FACAD3PDECX05P,Analysts,12/30/2017 6:27:24 AM,12/30/2017 7:45:20 AM,1:17
acondon2,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 9:01:14 AM,Running,4:3
mseibert0,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 7:44:53 AM,1/3/2018 9:09:25 AM,1:24
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,1/2/2018 7:06:05 AM,1/2/2018 4:02:40 PM,8:56
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,1/4/2018 8:03:53 AM,Running,5:0
kszeto0,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 12:39:45 PM,1/3/2018 2:15:51 PM,1:36
kszeto0,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 9:20:55 AM,Running,3:43
rmomberger0,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 12:43:28 PM,1/3/2018 3:47:46 PM,3:4
jfisher11,ADCF\FACAD3PDECX08P,SPSS,1/2/2018 7:51:14 AM,1/2/2018 11:57:02 AM,4:5
mseibert0,ADCF\FACAD3PDECX05P,Analysts,1/4/2018 7:28:18 AM,Running,5:36
kmartin22,ADCF\FACAD3PDECX07P,SAS,12/29/2017 7:32:11 AM,12/29/2017 2:08:27 PM,6:36
alathrop0,ADCF\FACAD3PDECX08P,SPSS,1/2/2018 11:20:28 AM,1/2/2018 6:20:15 PM,6:59
jfisher11,ADCF\FACAD3PDECX07P,SAS,1/3/2018 8:00:45 AM,1/3/2018 7:58:23 PM,11:57
jwei22,ADCF\FACAD3PDECX05P,Analysts,1/3/2018 4:55:43 AM,1/3/2018 6:25:10 PM,13:29
khawley2,ADCF\FACAD3PDECX08P,SPSS,1/1/2018 10:09:07 AM,1/1/2018 12:00:40 PM,1:51
ko'gallagher0,ADCF\FACAD3PDECX07P,SAS,1/2/2018 7:27:25 AM,1/2/2018 2:42:38 PM,7:15
estewart7,ADCF\FACAD3PDECX07P,SAS,1/4/2018 7:04:36 AM,Running,5:59
