"","User.Name","Machine.Name","Delivery.Group","Logon.Attempt.Time","Total..sec.","Brokering..sec.","VM.Start..sec.","HDX.Connection..sec.","Authentication..sec.","GPOs..sec.","Logon.scripts..sec.","Profile.load..sec.","Interactive.sessions..sec.","Logon.Attempt.Outcome","Failure.Reason","Weekday","Date","Hour"
"1","myi12","ADCF\FACAD3PDECX05P","Analysts","12/29/2017 5:23:15 PM","84.99","0.017","n/a","3.27","16.656","1.25","n/a","0.686","17.363","Success","n/a","Friday",2017-12-29,5
"2","tho3","ADCF\FACAD3PDECX07P","SAS","1/4/2018 5:14:20 PM","115.398","0.017","n/a","n/a","16.844","1.32","n/a","0.45","25.843","Success","n/a","Thursday",2018-01-04,5
"3","acondon2","ADCF\FACAD3PDECX05P","Analysts","1/2/2018 5:37:35 PM","84.193","0.017","n/a","4.573","13.109","4.876","n/a","0.83","30.593","Success","n/a","Tuesday",2018-01-02,5
"4","jfisher11","ADCF\FACAD3PDECX07P","SAS","1/4/2018 4:15:59 PM","181.583","0","n/a","3.976","22.89","n/a","n/a","0.043","18.443","Success","n/a","Thursday",2018-01-04,4
"5","tmiller34","ADCF\FACAD3PDECX05P","Analysts","12/29/2017 1:21:39 PM","87.071","0.05","n/a","6.886","18.453","1.296","n/a","0.39","20.52","Success","n/a","Friday",2017-12-29,1
"6","ko'gallagher0","ADCF\FACAD3PDECX07P","SAS","1/4/2018 2:17:24 AM","88.7","0.034","n/a","5.33","11.313","1.273","n/a","0.776","24.81","Success","n/a","Thursday",2018-01-04,2
"7","mseibert0","ADCF\FACAD3PDECX05P","Analysts","1/2/2018 7:54:16 PM","132.283","0.016","n/a","15.683","20.39","5.076","n/a","0.46","30.556","Success","n/a","Tuesday",2018-01-02,7
"8","Gregory.Erickson.ctr","ADCF\FACAD3PDECX07P","SAS","1/4/2018 5:34:25 PM","51.079","0.017","n/a","2.503","4.516","5.423","n/a","0.256","29.86","Success","n/a","Thursday",2018-01-04,5
"9","jfisher11","ADCF\FACAD3PDECX07P","SAS","1/2/2018 11:45:14 PM","134.79","0","n/a","3.496","15.344","1.243","n/a","0.39","19.903","Success","n/a","Tuesday",2018-01-02,11
"10","myi12","ADCF\FACAD3PDECX05P","Analysts","1/4/2018 1:12:47 AM","135.088","0.016","n/a","4.323","10.329","1.3","n/a","0.673","27.343","Success","n/a","Thursday",2018-01-04,1
"11","myi12","ADCF\FACAD3PDECX05P","Analysts","1/3/2018 4:22:59 PM","70.372","0.031","n/a","4.706","11.141","1.413","n/a","0.473","27.593","Success","n/a","Wednesday",2018-01-03,4
