"","User.Name","Machine.Name","Delivery.Group","Logon.Attempt.Time","Total..sec.","Brokering..sec.","VM.Start..sec.","HDX.Connection..sec.","Authentication..sec.","GPOs..sec.","Logon.scripts..sec.","Profile.load..sec.","Interactive.sessions..sec.","Logon.Attempt.Outcome","Failure.Reason","Weekday","Date","Hour"
"30","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/20/2017 9:39:05 PM","69.562","0.017","n/a","4.503","7.797","1.446","n/a","0.393","26.403","Success","n/a","Monday","2017-11-20",9
"31","fhuante2","ADCF\FACAD3PDECX05P","Analysts","11/17/2017 9:30:58 PM","98.421","0","n/a","5.046","7.546","2.493","n/a","1.143","26.5","Success","n/a","Friday","2017-11-17",9
"32","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/17/2017 2:59:54 PM","90.734","0.016","n/a","5.253","8.031","1.42","n/a","0.656","24.076","Success","n/a","Friday","2017-11-17",2
"33","fhuante2","ADCF\FACAD3PDECX05P","Analysts","11/16/2017 11:42:49 PM","73.339","0","n/a","4.32","16.703","4.156","n/a","0.72","28.783","Success","n/a","Thursday","2017-11-16",11
"34","fhuante2","ADCF\FACAD3PDECX05P","Analysts","11/21/2017 6:30:34 PM","134.836","0.017","n/a","4.813","17.937","5.64","n/a","1.726","53.36","Success","n/a","Tuesday","2017-11-21",6
"35","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/20/2017 2:58:47 PM","61.561","0.017","n/a","4.536","11.078","2.436","n/a","0.64","19.7","Success","n/a","Monday","2017-11-20",2
"36","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/15/2017 3:07:08 PM","78.394","0.016","n/a","5.81","26.782","1.5","n/a","0.406","22.016","Success","n/a","Wednesday","2017-11-15",3
"37","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/15/2017 10:07:29 PM","91.049","0.017","n/a","n/a","8.187","1.303","n/a","0.413","19.113","Success","n/a","Wednesday","2017-11-15",10
"38","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/21/2017 3:03:52 PM","99.195","0.016","n/a","7.66","19.734","1.203","n/a","1.063","18.193","Success","n/a","Tuesday","2017-11-21",3
"39","fhuante2","ADCF\FACAD3PDECX07P","SAS","11/20/2017 6:54:40 PM","130.828","0.017","n/a","4.47","8.719","1.57","n/a","0.95","20.973","Success","n/a","Monday","2017-11-20",6
"40","cmcnary0","ADCF\FACAD3PDECX07P","SAS","11/20/2017 6:32:16 PM","76.811","0","n/a","5.08","8.11","9.23","n/a","0.74","33.42","Success","n/a","Monday","2017-11-20",6
"41","jmurguia1","ADCF\FACAD3PDECX05P","Analysts","11/14/2017 9:50:45 PM","84.603","0.047","n/a","5.1","17.766","6.686","n/a","0.89","32.676","Success","n/a","Tuesday","2017-11-14",9
"42","jmurguia1","ADCF\FACAD3PDECX05P","Analysts","11/15/2017 12:45:58 AM","99.288","0.015","n/a","n/a","8.563","3.99","n/a","1.103","43.303","Success","n/a","Wednesday","2017-11-15",12
"43","jmurguia1","ADCF\FACAD3PDECX05P","Analysts","11/18/2017 12:08:02 AM","157.177","0.016","n/a","5.736","14.25","9.033","n/a","1.29","61.03","Success","n/a","Saturday","2017-11-18",12
"44","jmurguia1","ADCF\FACAD3PDECX07P","SAS","11/20/2017 8:34:56 PM","80.347","0","n/a","4.75","15.969","5.57","n/a","0.466","30.21","Success","n/a","Monday","2017-11-20",8
"45","alathrop0","ADCF\FACAD3PDECX08P","SPSS","11/16/2017 8:38:50 PM","67.818","0.016","n/a","4.29","10.015","1.433","n/a","0.306","19.413","Success","n/a","Thursday","2017-11-16",8
