Associated User,Machine Name,Delivery Group,Session Start Time,Session End Time,Session Duration (hr:min)
estewart7,ADCF\FACAD3PDECX07P,SAS,11/17/2017 7:04:57 AM,11/17/2017 4:25:01 PM,9:20
yshen,ADCF\FACAD3PDECX05P,Analysts,11/14/2017 1:13:07 PM,11/14/2017 4:42:51 PM,3:29
Gregory.Erickson.ctr,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 3:30:58 PM,11/16/2017 3:42:57 PM,0:11
jwei22,ADCF\FACAD3PDECX07P,SAS,11/16/2017 7:22:31 AM,11/16/2017 8:44:45 AM,1:22
mbacolod0,ADCF\FACAD3PDECX05P,Analysts,11/14/2017 10:42:41 AM,11/14/2017 1:10:31 PM,2:27
jmurguia1,ADCF\FACAD3PDECX05P,Analysts,11/14/2017 1:50:45 PM,11/14/2017 2:00:17 PM,0:9
supgde,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 9:56:16 AM,11/16/2017 9:57:51 AM,0:1
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,11/16/2017 8:52:42 AM,11/16/2017 11:49:58 AM,2:57
plockwood-bean0,ADCF\FACAD3PDECX07P,SAS,11/14/2017 10:56:45 AM,11/14/2017 2:32:24 PM,3:35
jtolins0,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 9:14:57 AM,11/16/2017 9:38:23 AM,0:23
jfisher11,ADCF\FACAD3PDECX08P,SPSS,11/14/2017 7:56:52 AM,11/14/2017 4:30:51 PM,8:33
rschrag,ADCF\FACAD3PDECX05P,Analysts,11/21/2017 8:52:45 AM,11/21/2017 12:27:22 PM,3:34
pwolf4,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 9:02:20 AM,11/16/2017 10:53:23 AM,1:51
jfisher11,ADCF\FACAD3PDECX07P,SAS,11/21/2017 7:50:17 AM,Running,4:59
dpercich0,ADCF\FACAD3PDECX07P,SAS,11/15/2017 4:14:37 AM,11/15/2017 6:51:54 AM,2:37
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 8:55:13 AM,11/16/2017 3:14:26 PM,6:19
jbonnie0,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 10:05:40 AM,11/15/2017 1:57:59 PM,3:52
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 10:54:45 AM,11/17/2017 12:01:15 PM,1:6
acondon2,ADCF\FACAD3PDECX05P,Analysts,11/21/2017 9:07:23 AM,Running,3:42
