User Name,Machine Name,Delivery Group,Logon time,Total (sec),Brokering (sec),VM Start (sec),HDX Connection (sec),Authentication (sec),GPOs (sec),Logon scripts (sec),Profile load (sec),Interactive sessions (sec)
Dan.Jensen.cw,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 4:39:41 PM,60.513,0.017,n/a,3.61,6.547,4.266,n/a,1.046,30.516
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 4:55:13 PM,99.766,0.017,n/a,4.27,10,2.076,n/a,1.05,32.033
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 3:40:26 PM,163.853,0.017,n/a,n/a,0,9.11,n/a,3.406,61.44
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,11/20/2017 4:38:53 PM,104.305,0.017,n/a,17.89,10.422,3.35,n/a,0.983,30.193
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,11/21/2017 3:11:31 PM,446.791,0.017,n/a,3.24,7.625,3.773,n/a,2.023,379.203
rramachandran0,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 4:45:26 PM,79.627,0.017,n/a,5.376,9.407,6.736,n/a,1.06,31.263
kszeto0,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 12:44:19 AM,79.912,0,n/a,2.77,17.719,9.696,n/a,1.063,26.92
kszeto0,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 10:43:42 PM,189.428,0.016,n/a,3.703,15.437,10.826,n/a,5.243,81.436
kszeto0,ADCF\FACAD3PDECX07P,SAS,11/16/2017 10:46:29 PM,68.03,0.015,n/a,2.936,7.125,1.386,n/a,0.786,23.83
kszeto0,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 4:58:59 PM,127.655,0.017,n/a,8.42,10.797,2.306,n/a,1.153,31.39
kszeto0,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 5:42:41 PM,80.065,0.03,n/a,4.72,8.766,3.63,n/a,1.846,31.313
kszeto0,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 12:47:58 AM,131.641,0.017,n/a,2.683,13.578,9.576,n/a,1.063,34.07
kszeto0,ADCF\FACAD3PDECX05P,Analysts,11/21/2017 5:20:02 PM,184.729,0.017,n/a,n/a,0,4.016,n/a,1.15,41.926
kszeto0,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 6:52:15 PM,132.401,0,n/a,4.523,13.328,1.606,n/a,0.5,18.783
kszeto0,ADCF\FACAD3PDECX07P,SAS,11/16/2017 6:57:08 PM,83.046,0.016,n/a,3.473,15.844,6.08,n/a,0.39,29.426
kszeto0,ADCF\FACAD3PDECX05P,Analysts,11/20/2017 5:03:53 PM,149.802,0,n/a,3.883,8.36,2.05,n/a,0.593,29.32
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 6:54:45 PM,71.716,0.016,n/a,5.203,7.516,1.313,n/a,0.483,24.09
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/15/2017 6:39:57 PM,65.391,0.05,n/a,4.853,9.234,1.266,n/a,0.343,23.573
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 9:15:45 PM,80.476,0.017,n/a,4.98,9.266,1.346,n/a,0.143,20.533
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 8:06:49 PM,78.425,0.016,n/a,5.053,9.235,1.353,n/a,0.22,26.813
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 4:59:02 PM,69.819,0.017,n/a,5.16,8.469,1.33,n/a,0.306,26.813
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/20/2017 9:40:34 PM,111.393,0.017,n/a,4.25,11.157,5.083,n/a,1.066,56.023
fhuante2,ADCF\FACAD3PDECX08P,SPSS,11/21/2017 6:25:05 PM,79.105,0.017,n/a,4.75,8.515,2.403,n/a,0.7,20.453
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 5:27:46 PM,100.987,0.016,n/a,7.286,15.187,1.273,n/a,0.496,24.62
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 9:54:11 PM,79.384,0.016,n/a,4.733,11.125,1.283,n/a,0.73,25.28
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/21/2017 5:32:20 PM,93.097,0.033,n/a,4.716,10.047,10.38,n/a,0.583,28.096
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 2:47:08 PM,54.877,0.14,n/a,3.346,6.625,1.313,n/a,0.596,21.686
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 5:03:55 PM,108.884,0.017,n/a,4.253,10.547,1.806,n/a,1.06,28.026
fhuante2,ADCF\FACAD3PDECX08P,SPSS,11/17/2017 5:01:29 PM,68.192,0,n/a,4.866,7.671,1.196,n/a,0.796,22.713
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/20/2017 9:39:05 PM,69.562,0.017,n/a,4.503,7.797,1.446,n/a,0.393,26.403
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 9:30:58 PM,98.421,0,n/a,5.046,7.546,2.493,n/a,1.143,26.5
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 2:59:54 PM,90.734,0.016,n/a,5.253,8.031,1.42,n/a,0.656,24.076
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 11:42:49 PM,73.339,0,n/a,4.32,16.703,4.156,n/a,0.72,28.783
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/21/2017 6:30:34 PM,134.836,0.017,n/a,4.813,17.937,5.64,n/a,1.726,53.36
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/20/2017 2:58:47 PM,61.561,0.017,n/a,4.536,11.078,2.436,n/a,0.64,19.7
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/15/2017 3:07:08 PM,78.394,0.016,n/a,5.81,26.782,1.5,n/a,0.406,22.016
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/15/2017 10:07:29 PM,91.049,0.017,n/a,n/a,8.187,1.303,n/a,0.413,19.113
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/21/2017 3:03:52 PM,99.195,0.016,n/a,7.66,19.734,1.203,n/a,1.063,18.193
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/20/2017 6:54:40 PM,130.828,0.017,n/a,4.47,8.719,1.57,n/a,0.95,20.973
cmcnary0,ADCF\FACAD3PDECX07P,SAS,11/20/2017 6:32:16 PM,76.811,0,n/a,5.08,8.11,9.23,n/a,0.74,33.42
jmurguia1,ADCF\FACAD3PDECX05P,Analysts,11/14/2017 9:50:45 PM,84.603,0.047,n/a,5.1,17.766,6.686,n/a,0.89,32.676
jmurguia1,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 12:45:58 AM,99.288,0.015,n/a,n/a,8.563,3.99,n/a,1.103,43.303
jmurguia1,ADCF\FACAD3PDECX05P,Analysts,11/18/2017 12:08:02 AM,157.177,0.016,n/a,5.736,14.25,9.033,n/a,1.29,61.03
jmurguia1,ADCF\FACAD3PDECX07P,SAS,11/20/2017 8:34:56 PM,80.347,0,n/a,4.75,15.969,5.57,n/a,0.466,30.21
alathrop0,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 8:38:50 PM,67.818,0.016,n/a,4.29,10.015,1.433,n/a,0.306,19.413
alathrop0,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 11:44:54 PM,64.715,0.017,n/a,3.75,6.75,4.796,n/a,0.533,21.633
alathrop0,ADCF\FACAD3PDECX08P,SPSS,11/15/2017 4:00:33 PM,68.037,0.017,n/a,3.646,11.204,1.27,n/a,0.846,23.416
alathrop0,ADCF\FACAD3PDECX08P,SPSS,11/20/2017 6:26:02 PM,68.913,0.05,n/a,4.216,8.594,2.513,n/a,0.796,26.853
alathrop0,ADCF\FACAD3PDECX08P,SPSS,11/17/2017 6:15:26 PM,63.144,0.034,n/a,3.9,7.266,1.213,n/a,0.373,23.9
estewart7,ADCF\FACAD3PDECX07P,SAS,11/17/2017 3:04:57 PM,92.436,0.03,n/a,7.353,9.093,8.296,n/a,0.876,32.746
estewart7,ADCF\FACAD3PDECX05P,Analysts,11/20/2017 3:02:32 PM,86.784,0.017,n/a,2.79,8.047,2.563,n/a,0.61,27.31
estewart7,ADCF\FACAD3PDECX07P,SAS,11/20/2017 3:01:45 PM,108.574,0,n/a,3.163,8.281,1.936,n/a,0.703,24.806
estewart7,ADCF\FACAD3PDECX07P,SAS,11/16/2017 3:01:41 PM,88.363,0.017,n/a,5.276,14.188,1.266,n/a,0.47,25.5
estewart7,ADCF\FACAD3PDECX07P,SAS,11/15/2017 3:07:21 PM,91.361,0,n/a,2.713,7.844,1.64,n/a,0.483,26.36
estewart7,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 4:38:04 PM,81.379,0.016,n/a,2.536,10.938,5.55,n/a,0.72,31.44
estewart7,ADCF\FACAD3PDECX07P,SAS,11/21/2017 3:08:13 PM,63.513,0,n/a,2.863,7.313,1.19,n/a,0.736,18.726
estewart7,ADCF\FACAD3PDECX05P,Analysts,11/21/2017 3:06:50 PM,699.713,0,n/a,2.903,16.234,4.72,n/a,1.656,616.846
kevin.mason,ADCF\FACAD3PDECX07P,SAS,11/15/2017 4:50:21 PM,50.2,0.017,n/a,4.74,0.016,1.256,n/a,1.273,27.346
jbergevin,ADCF\FACAD3PDECX08P,SPSS,11/21/2017 4:41:55 PM,91.904,0.017,n/a,9.736,9.625,7.16,n/a,0.65,32.143
jbergevin,ADCF\FACAD3PDECX08P,SPSS,11/21/2017 7:17:18 PM,75.984,0.017,n/a,7.683,7.609,1.193,n/a,0.773,26.07
dpercich0,ADCF\FACAD3PDECX07P,SAS,11/15/2017 12:14:37 PM,68.944,0.063,n/a,4.676,11,1.436,n/a,1.546,22.523
dpercich0,ADCF\FACAD3PDECX07P,SAS,11/20/2017 12:26:58 PM,102.437,0.05,n/a,4.56,18.031,3.33,n/a,0.986,39.996
dpercich0,ADCF\FACAD3PDECX07P,SAS,11/17/2017 5:39:54 PM,92.358,0.03,n/a,3.573,14.875,1.223,n/a,0.54,31.76
dpercich0,ADCF\FACAD3PDECX07P,SAS,11/17/2017 2:42:32 PM,132.433,0.016,n/a,4.516,18.141,9.42,n/a,1.703,35.18
dpercich0,ADCF\FACAD3PDECX07P,SAS,11/15/2017 3:48:56 PM,92.019,0.016,n/a,3.536,13.859,1.28,n/a,0.383,25.47
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,11/16/2017 4:52:42 PM,78.001,0.03,n/a,4.25,20.125,1.203,n/a,0.78,19.126
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,11/20/2017 6:02:19 PM,95.025,0.034,n/a,6.263,13.594,8.766,n/a,0.606,33.57
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,11/15/2017 2:52:01 PM,76.425,0.017,n/a,4.77,18.718,0.893,n/a,0.64,18.343
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,11/15/2017 5:22:10 PM,66.463,0.033,n/a,2.246,10.422,1.19,n/a,0.203,17.463
tng9,ADCF\FACAD3PDECX06P,UNIV_SAS,11/20/2017 7:54:28 PM,74.202,0.017,n/a,4.67,11.547,1.203,n/a,0.563,18.076
hhein2,ADCF\FACAD3PDECX05P,Analysts,11/20/2017 4:23:53 PM,110.668,0.017,n/a,7.896,12.156,8.156,n/a,0.673,42.05
ksullivan7,ADCF\FACAD3PDECX08P,SPSS,11/21/2017 12:14:12 AM,82.228,0.017,n/a,6.533,9.093,9.066,n/a,1.613,34.33
