Associated User,Machine Name,Delivery Group,Failure Time,Failure Type,Failure Reason
abhasker2,ADCF\FACAD3PDECX05P,Analysts,11/14/2017 6:57:01 PM,Client Connection Failures,Connection Timeout
abhasker2,ADCF\FACAD3PDECX07P,SAS,11/14/2017 7:01:31 PM,Client Connection Failures,Connection Timeout
abhasker2,ADCF\FACAD3PDECX07P,SAS,11/15/2017 2:51:24 PM,Client Connection Failures,Other
abhasker2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 11:09:43 AM,Client Connection Failures,Connection Timeout
abhasker2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 11:10:13 AM,Client Connection Failures,Connection Timeout
abhasker2,ADCF\FACAD3PDECX08P,SPSS,11/17/2017 11:17:13 AM,Client Connection Failures,Connection Timeout
abhasker2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 11:20:17 AM,Client Connection Failures,Connection Timeout
acondon2,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 7:23:23 AM,Client Connection Failures,Other
acondon2,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 7:43:03 AM,Client Connection Failures,Other
acondon2,ADCF\FACAD3PDECX08P,SPSS,11/17/2017 1:33:28 PM,Client Connection Failures,Other
atrexler0,ADCF\FACAD3PDECX05P,Analysts,11/15/2017 12:51:23 PM,Client Connection Failures,Connection Timeout
atrexler0,ADCF\FACAD3PDECX07P,SAS,11/15/2017 12:51:37 PM,Client Connection Failures,Other
atrexler0,ADCF\FACAD3PDECX07P,SAS,11/15/2017 12:54:07 PM,Client Connection Failures,Other
atrexler0,ADCF\FACAD3PDECX07P,SAS,11/15/2017 12:54:34 PM,Client Connection Failures,Other
atrexler0,ADCF\FACAD3PDECX07P,SAS,11/16/2017 1:41:57 PM,Client Connection Failures,Other
criggs0,ADCF\FACAD3PDECX06P,UNIV_SAS,11/21/2017 10:42:19 AM,Client Connection Failures,Other
cstanek2,ADCF\FACAD3PDECX08P,SPSS,11/20/2017 2:06:17 PM,Client Connection Failures,Other
cstanek2,ADCF\FACAD3PDECX07P,SAS,11/20/2017 2:09:32 PM,Client Connection Failures,Other
cstanek2,ADCF\FACAD3PDECX08P,SPSS,11/20/2017 3:13:43 PM,Client Connection Failures,Other
cstanek2,ADCF\FACAD3PDECX07P,SAS,11/20/2017 3:58:27 PM,Client Connection Failures,Other
estewart7,ADCF\FACAD3PDECX07P,SAS,11/15/2017 7:07:19 AM,Client Connection Failures,Other
estewart7,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 8:34:45 AM,Client Connection Failures,Connection Timeout
estewart7,ADCF\FACAD3PDECX07P,SAS,11/21/2017 7:08:05 AM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 12:04:25 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 1:29:39 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 1:44:54 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 1:45:57 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 1:48:32 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 1:54:17 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 2:19:53 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 3:21:12 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 3:22:44 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 3:23:09 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 3:23:33 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 3:25:43 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 3:31:47 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX08P,SPSS,11/16/2017 3:34:37 PM,Client Connection Failures,Other
fhuante2,n/a,Analysts,11/16/2017 3:34:40 PM,Unavailable Capacity,No Machine Available
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 3:35:15 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/16/2017 3:37:54 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 3:38:45 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 3:40:40 PM,Client Connection Failures,Other
fhuante2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 1:34:27 PM,Client Connection Failures,Connection Timeout
Gregory.Erickson.ctr,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 9:52:40 AM,Client Connection Failures,Other
Gregory.Erickson.ctr,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 9:56:19 AM,Client Connection Failures,Other
Gregory.Erickson.ctr,ADCF\FACAD3PDECX09P,SAS RFL,11/16/2017 11:33:10 AM,Client Connection Failures,Other
Gregory.Erickson.ctr,ADCF\FACAD3PDECX06P,UNIV_SAS,11/16/2017 1:09:07 PM,Client Connection Failures,Other
Gregory.Erickson.ctr,ADCF\FACAD3PDECX09P,SAS RFL,11/16/2017 1:24:01 PM,Client Connection Failures,Other
Gregory.Erickson.ctr,ADCF\FACAD3PDECX06P,UNIV_SAS,11/16/2017 3:27:43 PM,Client Connection Failures,Other
hhein2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 7:28:12 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,11/21/2017 7:23:36 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,11/21/2017 7:25:58 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,11/21/2017 7:40:23 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,11/21/2017 7:47:06 AM,Client Connection Failures,Other
hwu3,ADCF\FACAD3PDECX06P,UNIV_SAS,11/21/2017 7:51:59 AM,Client Connection Failures,Other
jfarag2,ADCF\FACAD3PDECX05P,Analysts,11/16/2017 8:58:45 PM,Client Connection Failures,Connection Timeout
jfarag2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 6:43:26 AM,Client Connection Failures,Connection Timeout
jfarag2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 6:43:56 AM,Client Connection Failures,Connection Timeout
jfarag2,ADCF\FACAD3PDECX08P,SPSS,11/17/2017 6:43:56 AM,Client Connection Failures,Connection Timeout
jfarag2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 7:42:05 AM,Client Connection Failures,Connection Timeout
jfarag2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 8:07:08 AM,Client Connection Failures,Connection Timeout
jfarag2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 8:14:26 AM,Client Connection Failures,Connection Timeout
jfarag2,ADCF\FACAD3PDECX07P,SAS,11/17/2017 9:37:25 AM,Client Connection Failures,Other
jfarag2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 9:52:00 AM,Client Connection Failures,Other
jfarag2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 9:55:10 AM,Client Connection Failures,Other
jfarag2,ADCF\FACAD3PDECX05P,Analysts,11/17/2017 9:58:19 AM,Client Connection Failures,Other
