Date,Load Evaluator Index,CPU Load,Memory Load,Session Count Load,Disk Load,Connected Users
11/14/2017 12:00:00 PM,2.5,0,0,2.5,0,35
11/14/2017 2:00:00 PM,2.23,0,0,2.23,0,30
11/14/2017 4:00:00 PM,1.5,0,0,1.48,0,20
11/14/2017 6:00:00 PM,0.67,0,0,0.66,0,8
11/14/2017 8:00:00 PM,0.56,0,0,0.56,0,6
11/14/2017 10:00:00 PM,0.52,0,0,0.52,0,6
11/15/2017 12:00:00 AM,0.4,0,0,0.4,0,5
11/15/2017 2:00:00 AM,0.27,0,0,0.27,0,3
11/15/2017 4:00:00 AM,0.3,0,0,0.3,0,4
11/15/2017 6:00:00 AM,0.45,0,0,0.45,0,11
11/15/2017 8:00:00 AM,1.32,0,0,1.32,0,22
11/15/2017 10:00:00 AM,1.55,0,0,1.54,0,20
11/15/2017 12:00:00 PM,1.42,0,0,1.39,0,17
11/15/2017 2:00:00 PM,1.06,0,0,1.05,0,14
11/15/2017 4:00:00 PM,0.65,0,0,0.65,0,10
11/15/2017 6:00:00 PM,0.24,0,0,0.24,0,5
11/15/2017 8:00:00 PM,0.24,0,0,0.24,0,3
11/15/2017 10:00:00 PM,0.24,0,0,0.24,0,3
11/16/2017 12:00:00 AM,0.24,0,0,0.24,0,3
11/16/2017 2:00:00 AM,0.24,0,0,0.24,0,3
11/16/2017 4:00:00 AM,0.24,0,0,0.24,0,4
11/16/2017 6:00:00 AM,0.27,0,0,0.26,0,9
11/16/2017 8:00:00 AM,1.16,0,0,1.15,0,20
11/16/2017 10:00:00 AM,1.9,0,0,1.86,0,24
11/16/2017 12:00:00 PM,1.65,0,0,1.63,0,22
11/16/2017 2:00:00 PM,1.59,0,0,1.56,0,20
11/16/2017 4:00:00 PM,0.36,0,0,0.34,0,7
11/16/2017 6:00:00 PM,0.19,0,0,0.19,0,5
11/16/2017 8:00:00 PM,0,0,0,0,0,0
11/16/2017 10:00:00 PM,0,0,0,0,0,0
11/17/2017 12:00:00 AM,0,0,0,0,0,0
11/17/2017 2:00:00 AM,0,0,0,0,0,0
11/17/2017 4:00:00 AM,0,0,0,0,0,3
11/17/2017 6:00:00 AM,0.21,0,0,0.19,0,13
11/17/2017 8:00:00 AM,0.92,0,0,0.9,0,18
11/17/2017 10:00:00 AM,1.62,0,0,1.61,0,22
11/17/2017 12:00:00 PM,1.54,0,0,1.54,0,19
11/17/2017 2:00:00 PM,1.82,0,0,1.82,0,20
11/17/2017 4:00:00 PM,1.16,0,0,1.16,0,14
11/17/2017 6:00:00 PM,0.24,0,0,0.24,0,2
11/17/2017 8:00:00 PM,0.24,0,0,0.24,0,2
11/17/2017 10:00:00 PM,0.24,0,0,0.24,0,2
11/18/2017 12:00:00 AM,0.24,0,0,0.24,0,2
11/18/2017 2:00:00 AM,0.24,0,0,0.24,0,2
11/18/2017 4:00:00 AM,0.23,0,0,0.23,0,2
11/18/2017 6:00:00 AM,0.24,0,0,0.24,0,2
11/18/2017 8:00:00 AM,0.08,0,0,0.08,0,2
11/18/2017 10:00:00 AM,0.08,0,0,0.08,0,1
11/18/2017 12:00:00 PM,0.08,0,0,0.08,0,1
11/18/2017 2:00:00 PM,0.08,0,0,0.08,0,1
11/18/2017 4:00:00 PM,0.08,0,0,0.08,0,1
11/18/2017 6:00:00 PM,0.08,0,0,0.08,0,1
11/18/2017 8:00:00 PM,0.08,0,0,0.08,0,1
11/18/2017 10:00:00 PM,0.08,0,0,0.08,0,1
11/19/2017 12:00:00 AM,0.08,0,0,0.08,0,1
11/19/2017 2:00:00 AM,0.08,0,0,0.08,0,1
11/19/2017 4:00:00 AM,0.08,0,0,0.08,0,1
11/19/2017 6:00:00 AM,0.08,0,0,0.08,0,1
11/19/2017 8:00:00 AM,0.08,0,0,0.08,0,1
11/19/2017 10:00:00 AM,0.08,0,0,0.08,0,1
11/19/2017 12:00:00 PM,0.08,0,0,0.08,0,1
11/19/2017 2:00:00 PM,0.08,0,0,0.08,0,1
11/19/2017 4:00:00 PM,0.08,0,0,0.08,0,2
11/19/2017 6:00:00 PM,0.16,0,0,0.16,0,2
11/19/2017 8:00:00 PM,0.16,0,0,0.16,0,2
11/19/2017 10:00:00 PM,0.16,0,0,0.16,0,2
11/20/2017 12:00:00 AM,0.08,0,0,0.08,0,1
11/20/2017 2:00:00 AM,0.08,0,0,0.08,0,1
11/20/2017 4:00:00 AM,0.14,0,0,0.12,0,5
11/20/2017 6:00:00 AM,0.55,0,0,0.5,0,12
11/20/2017 8:00:00 AM,1.55,0,0,1.55,0,24
11/20/2017 10:00:00 AM,1.9,0,0,1.9,0,25
11/20/2017 12:00:00 PM,2.13,0,0,2.11,0,26
11/20/2017 2:00:00 PM,2.34,0,0,2.32,0,26
11/20/2017 4:00:00 PM,1.92,0,0,1.91,0,24
11/20/2017 6:00:00 PM,1.11,0,0,1.1,0,15
11/20/2017 8:00:00 PM,0.82,0,0,0.82,0,10
11/20/2017 10:00:00 PM,0.86,0,0,0.86,0,9
11/21/2017 12:00:00 AM,0.8,0,0,0.8,0,9
11/21/2017 2:00:00 AM,0.8,0,0,0.8,0,9
11/21/2017 4:00:00 AM,0.78,0,0,0.77,0,9
11/21/2017 6:00:00 AM,0.68,0,0,0.68,0,15
11/21/2017 8:00:00 AM,1.21,0,0,1.21,0,19
11/21/2017 10:00:00 AM,1.72,0,0,1.72,0,22
