Time,Published Application Name,Process Name,Version,Description,Machine Name
11/20/2017 3:33:00 PM,Unknown,svchost.exe_AudioEndpointBuilder,6.3.9600.17415,Faulting application name: svchost.exe_AudioEndpointBuilder; version: 6.3.9600.17415; time stamp: 0x54504177;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba86db;Exception code: 0xc0000374;Fault offset: 0x00000000000f1c10;Faulting process id: 0x4f4;Faulting application start time: 0x01d35f3291be8dd1;Faulting application path: C:\windows\system32\svchost.exe;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 2527197d-ce4b-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/20/2017 2:27:24 PM,Unknown,rsession.exe,1.0.136.0,Faulting application name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Faulting module name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Exception code: 0x40000015;Fault offset: 0x0000000000075a8b;Faulting process id: 0x3fd4;Faulting application start time: 0x01d3624778c40209;Faulting application path: D:\Program Files\RStudio\bin\x64\rsession.exe;Faulting module path: D:\Program Files\RStudio\bin\x64\rsession.exe;Report Id: facb651c-ce41-11e7-8143-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
11/20/2017 1:33:11 PM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x4000001e;Fault offset: 0x0001558b;Faulting process id: 0x4fc4;Faulting application start time: 0x01d362472946728b;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: 67dd4a12-ce3a-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/20/2017 12:13:45 PM,Unknown,rsession.exe,1.0.136.0,Faulting application name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Faulting module name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Exception code: 0x40000015;Fault offset: 0x0000000000075a8b;Faulting process id: 0x2f90;Faulting application start time: 0x01d36234fe84504d;Faulting application path: D:\Program Files\RStudio\bin\x64\rsession.exe;Faulting module path: D:\Program Files\RStudio\bin\x64\rsession.exe;Report Id: 4edee064-ce2f-11e7-8143-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
11/20/2017 10:52:22 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba8666;Exception code: 0x80000004;Fault offset: 0x0003c330;Faulting process id: 0x3f0;Faulting application start time: 0x01d36230b25c80c9;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: f0909d1d-ce23-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/20/2017 10:52:14 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x4000001e;Fault offset: 0x0001558b;Faulting process id: 0x2664;Faulting application start time: 0x01d36230acf97a4c;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: eb9ed1f4-ce23-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/20/2017 8:24:12 AM,Unknown,EXCEL.EXE,15.0.4971.1000,Faulting application name: EXCEL.EXE; version: 15.0.4971.1000; time stamp: 0x59b780ef;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x80000004;Fault offset: 0x0000efba;Faulting process id: 0x211c;Faulting application start time: 0x01d3621bff841195;Faulting application path: D:\Program Files (x86)\Microsoft Office\Office15\EXCEL.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: 3dbd0fcc-ce0f-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/20/2017 8:09:12 AM,Unknown,rsession.exe,1.0.136.0,Faulting application name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Faulting module name: rsession.exe; version: 1.0.136.0; time stamp: 0x583f5668;Exception code: 0xc0000005;Fault offset: 0x000000000047903f;Faulting process id: 0x348c;Faulting application start time: 0x01d36219cc4ee002;Faulting application path: D:\Program Files\RStudio\bin\x64\rsession.exe;Faulting module path: D:\Program Files\RStudio\bin\x64\rsession.exe;Report Id: 25282b6f-ce0d-11e7-8143-005056b946d8;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX05P
11/20/2017 7:54:50 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: ntdll.dll; version: 6.3.9600.18821; time stamp: 0x59ba8666;Exception code: 0x80000004;Fault offset: 0x0003c330;Faulting process id: 0x316c;Faulting application start time: 0x01d36217e53bb1f7;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\ntdll.dll;Report Id: 2368fd01-ce0b-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
11/20/2017 6:19:24 AM,Unknown,IEXPLORE.EXE,11.0.9600.18817,Faulting application name: IEXPLORE.EXE; version: 11.0.9600.18817; time stamp: 0x59b18749;Faulting module name: KERNELBASE.dll; version: 6.3.9600.18666; time stamp: 0x58f32841;Exception code: 0x80000004;Fault offset: 0x0001558b;Faulting process id: 0x3f4;Faulting application start time: 0x01d3620a8feb590c;Faulting application path: C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE;Faulting module path: C:\windows\SYSTEM32\KERNELBASE.dll;Report Id: ce8650cf-cdfd-11e7-8131-005056b96544;Faulting package full name: ;Faulting package-relative application ID: ,ADCF\FACAD3PDECX07P
